Time,Corr Speed,Math Brake Pres Total,Alias Throttle Pos,Alias Steering Wheel Angle,Math G Force Combined
s,km/h,bar,%,deg,G
,,,,,
,,,,,
0,230.34,0.177,98.8,0.62,0.21
0.05,230.73,0.074,98.6,0.76,0.22
0.1,231.06,0.125,98.6,0.7,0.21
0.15,231.39,0.207,98.6,0.58,0.2
0.2,231.9,0.038,98.6,0.4,0.2
0.25,232.23,0.039,98.7,0.32,0.21
0.3,232.68,0.056,98.6,0.2,0.22
0.35,233.58,0.063,98.6,0.12,0.21
0.4,233.34,0.152,98.6,-0.04,0.18
0.45,234.21,0.127,98.6,-0.1,0.18
0.5,234.3,0.091,98.6,-0.06,0.21
0.55,235.02,0.17,98.6,0.04,0.2
0.6,235.02,0.187,98.6,0.14,0.19
0.65,235.8,0.071,98.5,0.2,0.21
0.7,235.62,0.059,98.6,0.2,0.21
0.75,236.34,0.017,98.6,0.28,0.2
0.8,237.3,0.069,98.4,0.28,0.19
0.85,237.09,0.074,98.6,0.1,0.2
0.9,237.66,0.101,98.6,0.14,0.19
0.95,238.2,0.243,98.6,0.24,0.2
1,238.44,0.214,98.6,0.22,0.19
1.05,238.71,0.107,98.5,0.02,0.17
1.1,239.16,0.053,98.4,-0.06,0.18
1.15,239.4,0.077,98.6,-0.04,0.19
1.2,239.82,0.005,98.4,-0.02,0.19
1.25,240.12,0.005,98.6,0.14,0.18
1.3,240.42,0.065,98.6,0.2,0.17
1.35,240.57,0.133,98.6,0.32,0.17
1.4,241.02,0.122,98.6,0.58,0.19
1.45,241.71,0.109,98.6,0.62,0.18
1.5,242.16,0.062,98.6,0.46,0.18
1.55,242.28,0.129,98.6,0.4,0.2
1.6,242.82,0.156,98.6,0.4,0.19
1.65,243.27,0.096,98.5,0.44,0.18
1.7,243.78,0.098,98.6,0.46,0.19
1.75,243.84,0.117,98.6,0.32,0.17
1.8,243.96,0.038,98.4,0.32,0.15
1.85,244.47,0.099,98.5,0.62,0.18
1.9,244.68,0.206,98.6,0.96,0.18
1.95,245.31,0.165,98.5,1.12,0.17
2,245.46,0.18,98.6,0.92,0.17
2.05,245.82,0.11,98.6,0.68,0.15
2.1,246.42,0.147,98.6,0.46,0.14
2.15,246.66,0.218,98.6,0.44,0.18
2.2,246.78,0.051,98.4,0.54,0.18
2.25,247.35,0.17,98.5,0.6,0.16
2.3,247.62,0.221,98.6,0.6,0.16
2.35,247.53,0.147,98.6,0.52,0.16
2.4,247.8,0.14,98.6,0.36,0.16
2.45,248.76,0.131,98.5,0.3,0.16
2.5,249,0.171,98.6,0.22,0.15
2.55,249.3,0.412,98.5,0.26,0.17
2.6,249.66,0.274,98.4,0.5,0.18
2.65,249.57,0.053,98.6,0.5,0.14
2.7,250.26,0.013,98.6,0.58,0.15
2.75,250.44,0.017,98.6,0.54,0.17
2.8,250.26,0.037,98.6,0.38,0.15
2.85,251.34,0.257,98.5,0.5,0.15
2.9,251.76,0.311,98.6,0.42,0.15
2.95,251.64,0.007,98.5,0.26,0.14
3,252.12,0.15,98.6,0.24,0.17
3.05,252.36,0.216,98.6,0.26,0.17
3.1,252.42,0.012,98.6,0.24,0.14
3.15,253.41,0.02,98.6,0.26,0.13
3.2,253.32,0.025,98.6,0.16,0.05
3.25,253.41,0.033,98.6,0.14,0.03
3.3,253.44,0.002,98.6,0.12,0.1
3.35,253.32,0.005,98.6,0,0.13
3.4,253.8,0.003,98.6,0.2,0.14
3.45,253.8,0.002,98.6,0.5,0.13
3.5,253.8,0.043,98.6,0.5,0.12
3.55,254.58,0.182,98.6,0.54,0.13
3.6,255.12,0.207,98.6,0.4,0.13
3.65,254.91,0.108,98.6,0.02,0.11
3.7,255.3,0.216,98.6,-0.06,0.12
3.75,255.33,0.246,98.5,0,0.12
3.8,255.24,0.128,98.6,0.04,0.11
3.85,255.84,0.005,98.5,0.22,0.12
3.9,256.5,0.007,98.6,0.32,0.12
3.95,256.41,0.078,98.5,0.24,0.1
4,256.62,0.108,98.6,0.38,0.1
4.05,256.86,0.036,98.5,0.5,0.12
4.1,257.22,0.056,98.4,0.5,0.11
4.15,257.52,0.099,98.4,0.62,0.1
4.2,257.88,0.276,98.4,0.68,0.12
4.25,257.91,0.212,98.5,0.62,0.11
4.3,257.82,0.081,98.4,0.88,0.09
4.35,258.57,0.1,98.4,0.92,0.11
4.4,258.84,0.099,98.4,0.72,0.12
4.45,258.6,0.126,98.4,0.56,0.09
4.5,259.38,0.002,98.4,0.62,0.11
4.55,259.05,0.025,98.4,0.64,0.11
4.6,258.78,0.085,98.4,0.32,0.1
4.65,259.74,0.078,98.4,0.32,0.11
4.7,260.04,0.048,98.4,0.3,0.09
4.75,259.77,0.072,98.4,-0.04,0.06
4.8,260.16,0.06,98.4,-0.02,0.09
4.85,260.34,0.152,98.4,0.22,0.12
4.9,260.88,0.093,98.4,0.44,0.08
4.95,261.24,0,98.4,0.54,0.08
5,261.3,0.11,98.4,0.44,0.11
5.05,260.97,0.225,98.4,0.16,0.09
5.1,261.18,0.162,98.4,0.26,0.09
5.15,262.02,0.192,98.4,0.58,0.1
5.2,261.96,0.236,98.4,0.62,0.08
5.25,262.26,0.177,98.4,0.5,0.08
5.3,262.56,0.07,98.4,0.54,0.09
5.35,262.5,0.164,98.4,0.64,0.07
5.4,263.4,0.189,98.4,0.66,0.07
5.45,263.34,0.092,98.4,0.56,0.09
5.5,263.04,0.033,98.4,0.62,0.07
5.55,263.4,0.047,98.4,0.88,0.07
5.6,263.94,0.099,98.4,0.96,0.09
5.65,263.97,0.216,98.4,0.9,0.08
5.7,264.48,0.146,98.4,0.86,0.08
5.75,264.3,0.155,98.4,0.56,0.08
5.8,264,0.231,98.4,0.32,0.08
5.85,264.6,0.212,98.4,0.5,0.1
5.9,264.78,0.167,98.4,0.38,0.09
5.95,265.14,0.057,98.4,0.16,0.08
6,264.96,0,98.4,0.22,0.08
6.05,265.26,0.086,98.4,0.4,0.07
6.1,266.04,0.249,98.4,0.24,0.07
6.15,266.13,0.192,98.4,0,0.08
6.2,265.8,0.022,98.4,0.16,0.05
6.25,266.19,0.022,98.4,0.4,0.06
6.3,266.88,0.026,98.4,0.36,0.1
6.35,266.64,0.065,98.4,0.3,0.08
6.4,266.7,0.095,98.4,0.38,0.06
6.45,267.51,0.101,98.5,0.46,0.1
6.5,267.66,0.217,98.4,0.24,0.1
6.55,267.48,0.141,98.5,0.12,0.06
6.6,267.96,0.054,98.4,0.38,0.08
6.65,268.17,0.002,98.4,0.54,0.09
6.7,268.26,0.029,98.4,0.56,0.07
6.75,268.65,0.041,98.4,0.5,0.06
6.8,268.8,0.005,98.4,0.5,0.06
6.85,268.8,0.053,98.4,0.46,0.06
6.9,269.22,0.075,98.4,0.36,0.08
6.95,269.46,0.058,98.4,0.3,0.08
7,269.52,0.099,98.4,0.34,0.05
7.05,269.55,0.032,98.4,0.52,0.06
7.1,270.18,0.069,98.4,0.62,0.09
7.15,269.97,0.074,98.4,0.5,0.07
7.2,270.36,0.029,98.4,0.54,0.05
7.25,270.63,0.185,98.4,0.52,0.07
7.3,270.54,0.221,98.4,0.36,0.06
7.35,271.02,0.089,98.4,0.26,0.06
7.4,270.96,0.249,98.4,0.32,0.05
7.45,270.99,0.196,98.4,0.46,0.03
7.5,271.68,0.026,98.4,0.36,0.06
7.55,271.77,0.111,98.4,0.26,0.07
7.6,271.32,0.21,98.4,0.32,0.03
7.65,272.46,0.146,98.4,0.54,0.05
7.7,272.22,0.197,98.4,0.44,0.07
7.75,272.01,0.201,98.4,0.28,0.05
7.8,273.12,0.144,98.4,0.44,0.05
7.85,273.09,0.128,98.4,0.34,0.06
7.9,272.58,0.133,98.4,0.18,0.05
7.95,273.54,0.035,98.4,0.42,0.08
8,273.54,0.173,98.4,0.48,0.07
8.05,273.21,0.257,98.4,0.38,0.02
8.1,273.84,0.257,98.4,0.5,0.07
8.15,273.21,0.383,98.4,0.46,0.08
8.2,273.9,0.005,98.2,0.36,0.05
